model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted,eval_metric
NeuralNetTorch_BAG_L1_FULL,0.9824561403508771,0.9761904761904762,0.9927248677248678,0.9918154761904762,1.0,0.9864864864864865,0.9824561403508771,0.9829302987197724,0.9523809523809523,0.9761904761904762,0.9824561403508771,0.9824561403508771,0.975609756097561,0.9809555629802873,0.9824561403508771,0.9823623542652152,accuracy
ExtraTreesEntr_BAG_L1,0.9824561403508771,0.9761904761904762,0.9986772486772487,0.9978103292056782,1.0,0.9864864864864865,0.9824561403508771,0.9829302987197724,0.9523809523809523,0.9761904761904762,0.9824561403508771,0.9824561403508771,0.975609756097561,0.9809555629802873,0.9824561403508771,0.9823623542652152,accuracy
ExtraTreesEntr_BAG_L1_FULL,0.9824561403508771,0.9761904761904762,0.9986772486772487,0.9978103292056782,1.0,0.9864864864864865,0.9824561403508771,0.9829302987197724,0.9523809523809523,0.9761904761904762,0.9824561403508771,0.9824561403508771,0.975609756097561,0.9809555629802873,0.9824561403508771,0.9823623542652152,accuracy
LightGBM_BAG_L1_FULL,0.9736842105263158,0.9642857142857143,0.9976851851851852,0.9964569160997734,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
LightGBMXT_BAG_L1_FULL,0.9736842105263158,0.9642857142857143,0.9996693121693122,0.9994462901439646,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
CatBoost_BAG_L1_FULL,0.9736842105263158,0.9642857142857143,0.996362433862434,0.9946507058107796,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
RandomForestEntr_BAG_L1_FULL,0.9736842105263158,0.9642857142857143,0.9976851851851852,0.9963194584182056,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
RandomForestGini_BAG_L1_FULL,0.9736842105263158,0.9642857142857143,0.9957010582010581,0.993246277839301,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
RandomForestGini_BAG_L1,0.9736842105263158,0.9642857142857143,0.9957010582010581,0.993246277839301,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
ExtraTreesGini_BAG_L1_FULL,0.9736842105263158,0.9642857142857143,0.9990079365079366,0.9983508554937126,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
RandomForestEntr_BAG_L1,0.9736842105263158,0.9642857142857143,0.9976851851851852,0.9963194584182056,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
ExtraTreesGini_BAG_L1,0.9736842105263158,0.9642857142857143,0.9990079365079366,0.9983508554937126,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
XGBoost_BAG_L1_FULL,0.9649122807017544,0.9523809523809523,0.9980158730158731,0.9970238095238098,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936,accuracy
NeuralNetFastAI_BAG_L1_FULL,0.956140350877193,0.9404761904761905,0.9947089947089948,0.9929401993355482,1.0,0.9675324675324675,0.956140350877193,0.9589883800410116,0.8809523809523809,0.9404761904761905,0.956140350877193,0.956140350877193,0.9367088607594937,0.951575906889814,0.956140350877193,0.9554882874504246,accuracy
WeightedEnsemble_L2_FULL,0.956140350877193,0.9404761904761905,0.9947089947089948,0.9929401993355482,1.0,0.9675324675324675,0.956140350877193,0.9589883800410116,0.8809523809523809,0.9404761904761905,0.956140350877193,0.956140350877193,0.9367088607594937,0.951575906889814,0.956140350877193,0.9554882874504246,accuracy
LightGBMLarge_BAG_L1_FULL,0.9298245614035088,0.9097222222222223,0.9834656084656084,0.9753564864252579,0.9722222222222222,0.9412393162393162,0.9298245614035088,0.9330859199280251,0.8333333333333334,0.9097222222222223,0.9298245614035088,0.9298245614035088,0.8974358974358975,0.9220512820512821,0.9298245614035088,0.9285290148448043,accuracy
