model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted,eval_metric
XGBoost_BAG_L1_FULL,0.8604651162790697,0.8873015873015873,0.8284493284493283,0.8604651162790697,0.8679614958684726,0.8873015873015873,0.8604651162790697,0.8604651162790697,0.8506715506715508,0.8604651162790697,0.8603628929210324,0.9734920634920635,0.96109634551495,0.9673221867187385,0.9622498647917793,0.9387060992714562,accuracy
LightGBMXT_BAG_L1_FULL,0.8372093023255814,0.7880952380952381,0.8798611111111111,0.8372093023255814,0.8536821705426355,0.7880952380952381,0.8372093023255814,0.8372093023255814,0.7944444444444444,0.8372093023255814,0.8286821705426356,0.9757671957671957,0.9659579180509411,0.9702718037032586,0.9751216873985938,0.9520848643015013,accuracy
WeightedEnsemble_L2_FULL,0.8372093023255814,0.7880952380952381,0.8798611111111111,0.8372093023255814,0.8536821705426355,0.7880952380952381,0.8372093023255814,0.8372093023255814,0.7944444444444444,0.8372093023255814,0.8286821705426356,0.9757671957671957,0.9659579180509411,0.9702718037032586,0.9751216873985938,0.9520848643015013,accuracy
ExtraTreesEntr_BAG_L1,0.8372093023255814,0.8761904761904762,0.8771367521367521,0.8372093023255814,0.8494335122242098,0.8761904761904762,0.8372093023255814,0.8372093023255814,0.8642857142857143,0.8372093023255814,0.8368770764119602,0.978835978835979,0.9679291251384274,0.9688555475456232,0.9723093564088696,0.9469095864919012,accuracy
ExtraTreesGini_BAG_L1,0.8372093023255814,0.8761904761904762,0.8771367521367521,0.8372093023255814,0.8494335122242098,0.8761904761904762,0.8372093023255814,0.8372093023255814,0.8642857142857143,0.8372093023255814,0.8368770764119602,0.9791534391534391,0.968062015503876,0.9684176712456779,0.9716603569497025,0.9461649422027502,accuracy
RandomForestGini_BAG_L1_FULL,0.8372093023255814,0.8325396825396826,0.879587732528909,0.8372093023255814,0.8542214739205162,0.8325396825396826,0.8372093023255814,0.8372093023255814,0.8374039938556067,0.8372093023255814,0.835526738827564,0.9772222222222222,0.9669601328903653,0.9732069432763293,0.9736073553272039,0.9490976950954066,accuracy
RandomForestGini_BAG_L1,0.8372093023255814,0.8325396825396826,0.879587732528909,0.8372093023255814,0.8542214739205162,0.8325396825396826,0.8372093023255814,0.8372093023255814,0.8374039938556067,0.8372093023255814,0.835526738827564,0.9772222222222222,0.9669601328903653,0.9732069432763293,0.9736073553272039,0.9490976950954066,accuracy
ExtraTreesGini_BAG_L1_FULL,0.8372093023255814,0.8761904761904762,0.8771367521367521,0.8372093023255814,0.8494335122242098,0.8761904761904762,0.8372093023255814,0.8372093023255814,0.8642857142857143,0.8372093023255814,0.8368770764119602,0.9791534391534391,0.968062015503876,0.9684176712456779,0.9716603569497025,0.9461649422027502,accuracy
ExtraTreesEntr_BAG_L1_FULL,0.8372093023255814,0.8761904761904762,0.8771367521367521,0.8372093023255814,0.8494335122242098,0.8761904761904762,0.8372093023255814,0.8372093023255814,0.8642857142857143,0.8372093023255814,0.8368770764119602,0.978835978835979,0.9679291251384274,0.9688555475456232,0.9723093564088696,0.9469095864919012,accuracy
RandomForestEntr_BAG_L1,0.813953488372093,0.8047619047619047,0.869514472455649,0.813953488372093,0.8331379063253208,0.8047619047619047,0.813953488372093,0.813953488372093,0.817736879360906,0.813953488372093,0.8133904949591629,0.9801851851851853,0.9707530454042083,0.97510397577681,0.9749594375338021,0.953724629854659,accuracy
RandomForestEntr_BAG_L1_FULL,0.813953488372093,0.8047619047619047,0.869514472455649,0.813953488372093,0.8331379063253208,0.8047619047619047,0.813953488372093,0.813953488372093,0.817736879360906,0.813953488372093,0.8133904949591629,0.9801851851851853,0.9707530454042083,0.97510397577681,0.9749594375338021,0.953724629854659,accuracy
XGBoost_BAG_L2_FULL,0.813953488372093,0.7761904761904761,0.8694444444444445,0.813953488372093,0.8333333333333333,0.7761904761904761,0.813953488372093,0.813953488372093,0.7833333333333333,0.813953488372093,0.8069767441860466,0.9564285714285714,0.9381395348837208,0.9516552191383983,0.9332612222823148,0.9114817024272889,accuracy
RandomForestEntr_BAG_L2_FULL,0.813953488372093,0.776984126984127,0.7112573099415206,0.813953488372093,0.7828437372501019,0.7769841269841269,0.813953488372093,0.813953488372093,0.7337822671156005,0.813953488372093,0.7872680291284943,0.9728703703703704,0.9610409745293466,0.966135925213932,0.9667928610059491,0.9425519853921189,accuracy
LightGBM_BAG_L1_FULL,0.7906976744186046,0.7928571428571428,0.7460317460317459,0.7906976744186046,0.7934662236987818,0.7928571428571428,0.7906976744186046,0.7906976744186046,0.7637383689107825,0.7906976744186046,0.7902165196471532,0.9722222222222222,0.9606533776301218,0.9658948898435863,0.9702541914548404,0.944095806392636,accuracy
LightGBMLarge_BAG_L1_FULL,0.7906976744186046,0.8373015873015871,0.7571733821733821,0.7906976744186046,0.7935301132975553,0.8373015873015871,0.7906976744186046,0.7906976744186046,0.788095238095238,0.7906976744186046,0.7880398671096346,0.9767724867724868,0.9652713178294573,0.9694736608529713,0.9685235262303948,0.9434200382075283,accuracy
LightGBMXT_BAG_L2_FULL,0.7906976744186046,0.765079365079365,0.8597105508870215,0.7906976744186046,0.813986059540095,0.765079365079365,0.7906976744186046,0.7906976744186046,0.7721357063403782,0.7906976744186046,0.7841400005173707,0.9783597883597884,0.9682945736434109,0.9738158650059408,0.9718766901027582,0.9503149021065191,accuracy
NeuralNetTorch_BAG_L2_FULL,0.7906976744186046,0.7650793650793651,0.6614504776269482,0.7906976744186046,0.7478603248097093,0.765079365079365,0.7906976744186046,0.7906976744186046,0.70284178187404,0.7906976744186046,0.7626942449898187,0.9576190476190476,0.9435548172757473,0.9460449290453496,0.958031368307193,0.932526495645298,accuracy
ExtraTreesEntr_BAG_L2_FULL,0.7906976744186046,0.7650793650793651,0.6965811965811964,0.7906976744186046,0.7525342874180082,0.765079365079365,0.7906976744186046,0.7906976744186046,0.7226190476190476,0.7906976744186046,0.7647840531561462,0.9741798941798941,0.962048726467331,0.9677745404301333,0.9645213628988643,0.9403681728133584,accuracy
RandomForestGini_BAG_L2_FULL,0.7906976744186046,0.765079365079365,0.8597105508870215,0.7906976744186046,0.813986059540095,0.765079365079365,0.7906976744186046,0.7906976744186046,0.7721357063403782,0.7906976744186046,0.7841400005173707,0.9737169312169311,0.9609966777408637,0.9646546717930233,0.9667387777176852,0.9382602566717615,accuracy
ExtraTreesGini_BAG_L2_FULL,0.7906976744186046,0.7214285714285715,0.6995051731893837,0.7906976744186046,0.7582462417223739,0.7214285714285714,0.7906976744186046,0.7906976744186046,0.6955988455988455,0.7906976744186046,0.7631631933957516,0.9723148148148149,0.9594739756367661,0.9629921102166686,0.966901027582477,0.9374210998382181,accuracy
CatBoost_BAG_L1_FULL,0.7674418604651163,0.6214285714285716,0.6413398692810458,0.7674418604651163,0.7199042407660738,0.6214285714285714,0.7674418604651163,0.7674418604651163,0.6243727598566309,0.7674418604651163,0.7384846211552889,0.9576984126984128,0.9431782945736433,0.9519854755031373,0.956625202812331,0.9228763081683261,accuracy
